set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800,pct2 · tr0.5x0.25 · 4 ч · без выхода по стене,601,3.7029,-11.2006,14.9035,12,15,222.54429,161,28.8979,5.1562,23.7417,7,7,465.25618999999995,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50be,pct2 · tr0.5x0.25 · 4 ч · gone50be,849,0.3708,-7.7702,8.1409,14,15,31.480920000000005,188,11.8527,1.3758,10.4769,7,7,222.83076,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50bex,pct2 · tr0.5x0.25 · 4 ч · gone50bex,1106,-4.5672,-5.9348,1.3676,11,15,-505.13232,229,4.7934,-1.2448,6.0382,7,7,109.76885999999999,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90be,pct2 · tr0.5x0.25 · 4 ч · gone90be,777,0.6904,-8.5392,9.2296,13,15,53.644079999999995,183,16.349,2.1676,14.1814,7,7,299.18670000000003,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90bex,pct2 · tr0.5x0.25 · 4 ч · gone90bex,1012,-3.2079,-6.3332,3.1253,11,15,-324.63948,227,8.9083,-0.5208,9.4291,7,7,202.21841,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800,pct2 · tr0.5x0.25 · 2 ч · без выхода по стене,709,2.7123,-9.5241,12.2365,13,15,192.30207000000001,180,22.2022,3.5459,18.6563,7,7,399.63960000000003,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone50be,pct2 · tr0.5x0.25 · 2 ч · gone50be,911,0.4576,-7.0911,7.5487,13,15,41.68736,205,8.366,0.092,8.274,6,7,171.503,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone50bex,pct2 · tr0.5x0.25 · 2 ч · gone50bex,1149,-3.7052,-5.6882,1.983,13,15,-425.72748,242,3.4872,-1.8918,5.379,6,7,84.39024,нет
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone90be,pct2 · tr0.5x0.25 · 2 ч · gone90be,847,0.3091,-7.7606,8.0697,13,15,26.180770000000003,199,12.1819,0.7236,11.4583,7,7,242.41981,да
t-bid-age-45,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone90bex,pct2 · tr0.5x0.25 · 2 ч · gone90bex,1060,-2.6103,-6.0533,3.4431,12,15,-276.6918,236,7.2206,-1.1866,8.4071,7,7,170.40616,нет
